TITLE,ABSTRACT,PUBLICATION YEAR,AUTHORS,JOURNAL,KEYWORDS
Construction of house of quality for new product planning: A 2-tuple fuzzy linguistic approach,"A house of quality (HOQ) diagram is used to analyze the critical factors involved in the quality function deployment (QFD) processes for the new product planning (NPP). The principal tasks of the QFD acting process comprise describing and scoring customer requirements (CRs); determining design requirements (DRs), the relationship between CRs and DRs, the correlations among CRs, and the correlations among DRs. Finally, the DRs can be scored by these assessments in NPP. This study proposes various methods of scoring the requirements of current and potential customers to reflect the knowledge and preference differences among different customers regarding CRs. The CR scores provided by different customers can be assessed by using linguistic, numerical, and interval values, or can be assessed using linguistic label sets with different granularity. A 2-tuple fuzzy linguistic computational approach is adopted to aggregate the CR importance scores obtained from customers by using various methods. In addition, to accurately rate the DRs, a modified relationship between CRs and DRs is proposed. The proposed HOQ construction model is practical because it prevents the loss of information during the QFD process for NPP. An example is used to demonstrate the applicability of the proposed model. (C) 2015 Elsevier B.V. All rights reserved.",2015,"Ko, Wen-Chang",COMPUTERS IN INDUSTRY,2-Tuple fuzzy linguistic modeling; Group decision-making (GDM); House of quality (HOQ); New product planning (NPP); Quality function deployment (QFD)
Representation and management of requirements: The RAPID-WS project,"RAPID-WS (Requirements Process in Design for Weapon Systems) is an advanced research and development project conducted by the Air Force Armstrong Laboratory, Logistics Research Division, RAPID-WS prototypes and demonstrates decision support system tools and supporting methodologies to improve requirements determination and analysis in a concurrent collaborative environment. In this paper, we concentrate on our approach to the semi-formal representation and capture of requirements. We avoid common assumptions that restrict the subject domain to information processing systems. We also attempt to build a representation that does not force the requirements analyst to do anything that looks like programming in a formal language. We see a requirements document as a set oi constraints imposed on the attributes and relations (properties) of domain entities relevant to the subject artifact throughout the artifact's lifecycle. While earlier research deals only with attribute requirements and views relations as specified a priori, we define both relations and attributes only via requirements. We found that requirements specified in typical requirements documents can be classified into a relatively small set of formal types and modalities. Requirements can be decomposed into simple requirement statements, and most of the simple requirement statements have the same generalized structure. Based on these findings, we propose a frame-based Requirements Specification Language (RSL) which is semi-formal in the sense that it contains elements (textual descriptions) which require human interpretation.",1995,"Kott, A; Peasant, JL",CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,knowledge representation; system design; requirements engineering; document management; formal specification; frame-based language
On user rationale in software engineering,"Rationale refers to the reasoning and justification behind human decisions, opinions, and beliefs. In software engineering, rationale management focuses on capturing design and requirements decisions and on organizing and reusing project knowledge. This paper takes a different view on rationale written by users in online reviews. We studied 32,414 reviews for 52 software applications in the Amazon Store. Through a grounded theory approach and peer content analysis, we investigated how users argue and justify their decisions, e.g., about upgrading, installing, or switching software applications. We also studied the occurrence frequency of rationale concepts such as issues encountered or alternatives considered in the reviews and found that assessment criteria like performance, compatibility, and usability represent the most pervasive concept. We identified a moderate positive correlation between issues and criteria and furthermore assessed the distribution of rationale concepts with respect to rating and verbosity. We found that issues tend to appear more in lower star rated reviews, while criteria, alternatives, and justifications seem to appear more in three star rated reviews. Also, reviews reporting alternatives seem to be more verbose than reviews reporting criteria. A follow-up qualitative study of sub-concepts revealed, that users also report other alternatives (e.g., alternative software provider), criteria (e.g., cost), and decisions (e.g., on rating software). We then used the truth set of manually labeled review sentences to explore how accurately we can mine rationale concepts from the reviews. We evaluated the classification algorithms Naive Bayes, Support Vector Machine, Logistic Regression, Decision Tree, Gaussian Process, Random Forest, and Multilayer Perceptron Classifier using a baseline and random configuration. Support Vector Classifier, Naive Bayes, and Logistic Regression, trained on the review metadata, syntax tree of the review text, and influential terms, achieved a precision around 80% for predicting sentences with alternatives and decisions, with top recall values of 98%. On the review level, precision was up to 13% higher with recall values reaching 99%. Using only word features, we achieved in most cases the highest precision and highest recall respectively using the Random Forest and Naive Bayes algorithm. We discuss the findings and the rationale importance for supporting deliberation in user communities and synthesizing the reviews for developers.",2018,"Kurtanovic, Zijad; Maalej, Walid",REQUIREMENTS ENGINEERING,Review mining; App analytics; Rationale
Automatic Discovery of Design Task Structure Using Deep Belief Nets,"With the arrival of cyber physical world and an extensive support of advanced information technology (IT) infrastructure, nowadays it is possible to obtain the footprints of design activities through emails, design journals, change logs, and different forms of social data. In order to manage a more effective design process, it is essential to learn from the past by utilizing these valuable sources and understand, for example, what design tasks are actually carried out, their interactions, and how they impact each other. In this paper, a computational approach based on the deep belief nets (DBN) is proposed to automatically uncover design tasks and quantify their interactions from design document archives. First, a DBN topic model with real-valued units is developed to learn a set of intrinsic topic features from a simple word-frequency-based input representation. The trained DBN model is then utilized to discover design tasks by unfolding hidden units by sets of strongly connected words, followed by estimating the interactions among tasks on the basis of their co-occurrence frequency in a hidden topic space. Finally, the proposed approach is demonstrated through a real-life case study using a design email archive spanning for more than 2 yr.",2017,"Lan, LJ; Liu, Y; Lu, WF",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,; STRUCTURE MATRIX; MANAGEMENT; SYSTEM
Learning From the Past: Uncovering Design Process Models Using an Enriched Process Mining,"Design documents and design project footprints accumulated by corporate information technology systems have increasingly become valuable sources of evidence for design information and knowledge management. Identification and extraction of such embedded information and knowledge into a clear and usable format will greatly accelerate continuous learning from past design efforts for competitive product innovation and efficient design process management in future design projects. Most of the existing design information extraction systems focus on either organizing design documents for efficient retrieval or extracting relevant product information for product optimization. Different from traditional systems, this paper proposes a methodology of learning and extracting useful knowledge using past design project documents from design process perspective based on process mining techniques. Particularly different from conventional techniques that deal with timestamps or event logs only, a new process mining approach that is able to directly process textual data is proposed at the first stage of the proposed methodology. The outcome is a hierarchical process model that reveals the actual design process hidden behind a large amount of design documents and enables the connection of various design information from different perspectives. At the second stage, the discovered process model is analyzed to extract multifaceted knowledge patterns by applying a number of statistical analysis methods. The outcomes range from task dependency study from workflow analysis, identification of irregular task execution from performance analysis, cooperation pattern discovery from social net analysis to evaluation of personal contribution based on role analysis. Relying on the knowledge patterns extracted, lessons and best practices can be uncovered which offer great support to decision makers in managing any future design initiatives. The proposed methodology was tested using an email dataset from a university-hosted multiyear multidisciplinary design project.",2018,"Lan, LJ; Liu, Y; Lu, WF",JOURNAL OF MECHANICAL DESIGN,design informatics; machine learning; process mining; text mining; design information extraction; process analysis; CAD MODELS; RETRIEVAL
Navigating a product landscape for technology opportunity analysis: A word2vec approach using an integrated patent-product database,"Technology opportunity analysis has been the subject of many prior studies, although most of them have focused on discovering new technology ideas in a single narrow domain. This study proposes a product landscape analysis to identify product areas (i.e., potential technology opportunities) across multiple domains that firms can enter based on the technological capabilities embodied in their existing products. First, text mining is used to construct an integrated patent-product database from the United States patent and trademark database. Second, word2vec is employed to construct a product landscape as a vector space model where products with similar technological bases are located close to each other while maintaining the technological relationships. Third, given a product of interest, potential technology opportunities are identified via (1) automatic opportunity analysis that identifies product areas with technological bases similar to those of the product; and (2) interactive opportunity analysis that finds product areas based on experts' queries modifying the technological bases of the product (i.e., addition and subtraction). Finally, ten quantitative indexes are developed to explore the implications of the potential technology opportunities identified. The case study covering 3,016,315 patents and 160,832 products confirms that the proposed approach is valuable as a creativity support tool for technology opportunity analysis in the era of convergence.",2020,"Lee, Changyong; Jeon, Daeseong; Ahn, Joon Mo; Kwon, Ohjin",TECHNOVATION,Index analysis; Integrated patent-product database; Product landscape analysis; Technology opportunity analysis; Word2vec
Categorizing biological information based on function-morphology for bioinspired conceptual design,"A function-based keyword search is a concept generation methodology studied in the bioinspired design area that conveys textual biological inspiration for engineering design. Current keyword search methods are inefficient primarily due to the knowledge gap between engineering and biology domains. To improve current keyword search methods, we propose an algorithm that extracts and organizes morphology-based solutions from biological text. WordNet is utilized to discover morphological solutions in biological text. The novel algorithm also adapts latent semantic analysis and the expectation-maximization algorithm to categorize morphological solutions and group biological text. We introduce a novel penalty function that reflects the distance between functions (problems) and morphologies (solutions). The penalty function allows the algorithm to extract morphological solutions directly related to a design problem. We compare the output of the algorithm to manually extracted solutions for validation. A case study is included to exemplify the utility of the developed algorithm. Upon implementation of the algorithm, engineering designers can discover innovative solutions in biological text in a straightforward, efficient manner.",2017,"Lee, S; Mcadams, DA; Morris, E",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Bioinspired Design; Conceptual Design; Keyword Search; Morphology; Text Mining; 
Mining transportation logs for understanding the after-assembly block manufacturing process in the shipbuilding industry,"In the after-assembly block manufacturing process in the shipbuilding industry, domain experts or industrial managers have the following questions regarding the first step in terms of reducing the overhead transportation cost due to irregularities not defined in a process design: “What tasks are bottlenecks?” and “How long do the blocks remain waiting in stockyards?” We provide the answers to these two questions. In the process mining framework, we propose a method automatically extracting the most frequent task flows from transport usage histories. Considering characteristics of our application, we use a clustering technique to identify heterogeneous groups of process instances, and then derive a process model independently by group. Process models extracted from real-world transportation logs, are verified by domain experts and labelled based on their interpretations. Consequently, we conceptualize the “standard process” from one global process model. Moreover, local models derived from groups of process instances reflect unknown context regarding characteristics of blocks. Our proposed method can provide conceptualized process models and process (or waiting in stockyards) times as a performance indicator. Providing reasonable answers to their questions, it helps domain experts better understand and manage the actual process. With the extension of the conventional methodology for our application problem, the main contributions of this research are that our proposed approach provides insight into the after-assembly block manufacturing process, and describes the first step for reducing transportation costs. (C) 2012 Elsevier Ltd. All rights reserved.",2013,"Lee, Seung-kyung; Kim, Bongseok; Huh, Minhoe; Cho, Sungzoon; Park, Sungkyu; Lee, Daehyung",EXPERT SYSTEMS WITH APPLICATIONS,Shipbuilding industry; Process mining; Manufacturing process; Transportation; Workflow mining
Discovering emerging business ideas based on crowdfunded software projects,"User-centered innovation has attracted considerable interest for exploiting emerging business ideas. We suggest a novel framework for discovering emerging business ideas and their combination with user-centered innovation in the software industry based on design thinking processes. We apply topic modeling to projects on Kickstarter which is one of the largest crowdfunding platforms in the world, We adopt conjoint analysis to find which topics are most preferred upon the platform in terms of the amount of funding that they have received. From our findings, the convergence of smart assistant services with various domains, such as tutoring mathematics and seeking job opportunities, is recommended as an emerging idea for software businesses. We also find that the ideas preferred in the US are different from those preferred in other countries. Our findings can be exploited effectively for decision support in establishing a new business model. Finally, this study contributes to discovering emerging business ideas by connecting user-centered innovation with a design thinking perspective.",2019,"Lee, Won Sang; Sohn, So Young",DECISION SUPPORT SYSTEMS,Design thinking; Crowdfunding; User-centered innovation
Using evolutionary algorithms to select text features for mining design rationale,"At its heart, design is a decision-making process. These decisions, and the reasons for making them, comprise the design rationale (DR) for the designed artifact. If available, DR provides a comprehensive record of the reasoning behind the decisions made during the design. Unfortunately, while this information is potentially quite valuable, it is usually not explicitly captured. Instead, it is often buried in other design and development artifacts. In this paper, we study how to identify rationale from text documents, specifically software bug reports and design discussion transcripts. The method we examined is statistical text mining where a model is built to use document features to classify sentences. Choosing which features are most likely to be good predictors is important. We studied two evolutionary algorithms to optimize feature selection - ant colony optimization and genetic algorithms. We found that for many types of rationale, models built with an optimized feature set outperformed those built using all the document features.",2020,"Lester, M; Guerrero, M; Burge, J",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Ant colony optimization; design rationale; feature selection; genetic algorithms; text mining; COLONY; OPTIMIZATION
An approach for design rationale retrieval using ontology-aided indexing,"Design rationale (DR) is an important part of design knowledge. Effective reuse of DR depends on its successful retrieval. In this paper, an approach for structured DR retrieval using ontology-aided indexing is presented. Firstly, an ontology-based semantic model of DR is developed based on the extended IBIS-based DR representation in order to effectively utilise the semantics embedded in DR. Then, an ontology-aided indexing method is proposed to build indexes for DR records to index the semantic concepts and relationships in DR. Furthermore, three kinds of query modes are developed to support flexible querying, among which natural language input query and DR record-based query have much more semantics and thus lead to better retrieval results. Finally, a prototype system is implemented. Experimental results show the effectiveness of the proposed approach.",2014,"Li, LY; Qin, FW; Gao, SM; Liu, Y",JOURNAL OF ENGINEERING DESIGN,design rationale; ontology; design rationale retrieval; design knowledge reuse; ENGINEERING DESIGN; REPRESENTATION; KNOWLEDGE; REUSE
Product family lean improvement based on matching deep mining of customer group preference,"Mining user preferences from online reviews to understand the representative preferences of different customer groups plays a critical role in product development and improvement, especially in personalized product design. Previous research on mining user preferences usually assumes that all consumers' preferences are homogenous and does not take differences in consumers' personalities into account. Besides, traditional online review deep mining methods are too broad to focus on precise and detailed mining of customer preferences. To fill the gaps in existing research, our study develops a template matching deep mining method to segment customers and narrow the mining scope of customer group preference, and then proposes a product family lean improvement model. Firstly, K-means and structural change model are applied to cluster customers reliably based on the similarity of user preferences. Secondly, in order to decrease down mining scope of customer group preference, the Improved Deep Structured Semantic Model is designed to determine sentimental polarity sentimental polarity of different groups by matching the standard sentimental polarity review templates and online reviews. Finally, a KANO mapping model is developed to decide the user preferences for product attributes in each customer group according to their sentimental polarity and further summarize the common preferences and personalized preferences of various groups according to the Preference Commonality Measurement Function. Accordingly, product family lean improvement strategies are proposed to provide product developers with improvement directions. An empirical study is carried out on laptop data on JD.COM to verify the validity of the proposed model and product family lean improvement suggestions are put forward.",2021,"Li, Shugang; Liu, Fang; Lu, Hanyu; Zhang, Yuqi; Li, Yueming; Yu, Zhaoxu",RESEARCH IN ENGINEERING DESIGN,Online reviews; Customer group; Matching deep mining; Preference diversity; Product family improvement
A context-aware diversity-oriented knowledge recommendation approach for smart engineering solution design,"To proactively fulfill multiple stakeholders' needs in the engineering solution design process, the knowledge recommendation approach is adopted as a key element in the knowledge management system. Nevertheless, most existing knowledge recommendation approaches cannot simultaneously meet the higher standard of in-context accuracy and diversity. To address the issue, this paper proposes a context-aware diversity-oriented knowledge recommendation approach, thereby assisting stakeholders to accomplish engineering solution design in a smarter manner. Three diversity concerns, namely item-diversity, context-diversity, and user-diversity are addressed by semantic-based content analysis, context definition and awareness, and user profile modeling, respectively. Hence, the proposed approach not only maximizes the diversity of the recommended knowledge but also guarantees its accuracy under multiple problem-solving contexts. Moreover, a practical engineering solution design case on a Smart 3D printer platform is conducted, to validate the efficacy of the proposed approach in providing usable and diverse knowledge items. It is anticipated this work can provide useful insights to practitioners in their knowledge-based engineering solution design process. (C) 2021 Elsevier B.V. All rights reserved.",2021,"Li, Xinyu; Chen, Chun-Hsien; Zheng, Pai; Jiang, Zuhua; Wang, Linke",KNOWLEDGE-BASED SYSTEMS,Context-aware; Diversity; Engineering knowledge; Engineering solution design; Knowledge recommendation
"Exploiting knowledge graphs in industrial products and services: A survey of key aspects, challenges, and future perspectives","The rapid development of information and communication technologies has enabled a value co-creation paradigm for developing industrial products and services, where massive heterogeneous data and multidisciplinary knowledge are generated and leveraged. In this context, Knowledge Graph (KG) emerges as a promising tool to elicit, fuse, process, and utilize numerous entities and relationships embedded in products and services, as well as their stakeholders. Nevertheless, to the best of the authors' knowledge, there is scarcely any comprehensive and thorough discussion about making full use of KG's potentials to solve pain points of product development and service innovation in the industry. Aiming to fill this gap, this paper conducted a systematic survey of KG exploitations in industrial products and services and the customizations towards higher adaptability to practices. The authors selected 119 representative papers (up to 10/03/2021) together with other 29 supplementary works to summarize the technical and practical efforts and discuss the current challenges of exploiting KG in industrial products and services. Meantime, this work also highlights enhancing KG's availability and boosting its productivity in industrial products and services development as the core future perspectives to explore. It is hoped that this work can provide a basis for the explorations and implementations of KG-supported industrial product and services development, and attract more open discussions to the exploitation of KG-enabled industrial information systems. (c) 2021 Elsevier B.V. All rights reserved.",2021,"Li, Xinyu; Lyu, Mengtao; Wang, Zuoxu; Chen, Chun-Hsien; Zheng, Pai",COMPUTERS IN INDUSTRY,Knowledge graph; Review; Product development; Knowledge management; Service innovation; Product-service systems
A Knowledge Graph-Aided Concept-Knowledge Approach for Evolutionary Smart Product-Service System Development,"In order to meet user expectations and to optimize user experience with a higher degree of flexibility and sustainability, the Smart product-service system (Smart PSS), as a novel value proposition paradigm considering both online and offline smartness, was proposed. However, conventional manners for developing PSS require many professional consultations and still cannot meet with the new features of Smart PSS, such as user context-awareness and ever-evolving knowledge management. Therefore, aiming to assist Smart PSS development cost-effectively, this paper adopted the knowledge graph (KG) technique and concept-knowledge (C-K) model to propose an evolutionary design approach. Two knowledge graphs are firstly established with open-source knowledge, prototype specifications, and user-generated textual data. Then, triggered by personalized requirements, four KG-aided C-K operators are conducted based on graph-based query patterns and computational linguistics algorithms, thus generating innovative solutions for evolving Smart PSS. To validate the performance of the proposed approach, a case study of a smart nursing bed fulfilling multiple personalized requirements is conducted, and the evaluation result of its knowledge evolution is acceptable. It hopes that this work can offer insightful guidance to industrial organizations in their development of Smart PSS.",2020,"Li, XY; Chen, CH; Zheng, P; Wang, ZX; Jiang, ZH; Jiang, ZX",JOURNAL OF MECHANICAL DESIGN,knowledge graph; concept-knowledge model; smart product-service system; knowledge evolution; conceptual design; creativity and concept generation; DESIGN APPROACH; DATA ANALYTICS; INNOVATION; FRAMEWORK; MANAGEMENT; FIRMS
Extracting topic-sensitive content from textual documents-A hybrid topic model approach,"When exploring information of a topic, users often concern its different aspects. For instance, product designers are interested in seeking information of specific topic aspects such as technical challenge and usability from online consumer opinions, while potential buyers wish to obtain general sentiment of public opinions. In this paper, we study an interesting problem called topic-sensitive content extraction (TSCE). TSCE aims to extract contents that are relevant to the samples of topic aspects highlighted by users from a single document in a given text collection. To tackle TSCE, we have proposed a new hybrid topic model which integrates different structures in both topic space and context space. It focuses on identifying contents associated with a specified topic aspect from each document. By modeling gradient documents via term profiles for context modeling and by leveraging local and global differences between probability distributions over words in both topic modeling and context modeling, it has better captured the features of various language patterns. Hence, sentence relevance ranking according to a specific topic aspect is largely improved. The experimental studies on extracting critical contents of specific aspects, including motivation and design solution, from technical patents for design analysis have shown the merits of the proposed modeling. (C) 2018 Elsevier Ltd. All rights reserved.",2018,"Liang, Yan; Liu, Ying; Chen, Chong; Jiang, Zhigang",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,Probabilistic topic modeling; Semi-supervised; Topic network; Topic-sensitive content
Learning the “Whys”: Discovering design rationale using text mining - An algorithm perspective,"Collecting design rationale (DR) and making it available in a well-organized manner will better support product design, innovation and decision-making. Many DR systems have been developed to capture DR since the 1970s. However, the DR capture process is heavily human involved. In addition, with the increasing amount of DR available in archived design documents, it has become an acute problem to research a new computational approach that is able to capture DR from free textual contents effectively. In our previous study, we have proposed an ISAL (issue, solution and artifact layer) model for DR representation. In this paper, we focus on algorithm design to discover DR from design documents according to the ISAL modeling. For the issue layer of the ISAL model, we define a semantic sentence graph to model sentence relationships through language patterns. Based on this graph, we improve the manifold-ranking algorithm to extract issue-bearing sentences. To discover solution-reason bearing sentences for the solution layer, we propose building up two sentence graphs based on candidate solution-bearing sentences and reason-bearing sentences respectively, and propagating information between them. For artifact information extraction, we propose two term relations, i.e. positional term relation and mutual term relation. Using these relations, we extend our document profile model to score the candidate terms. The performance and scalability of the algorithms proposed are tested using patents as research data joined with an example of prior art search to illustrate its application prospects. (C) 2011 Elsevier Ltd. All rights reserved.",2012,"Liang, Yan; Liu, Ying; Kwong, Chun Kit; Lee, Wing Bun",COMPUTER-AIDED DESIGN,Patent mining; Text Mining; Design rationale; Rationale discovery; Rationale representation
Revealing insights of users' perception: an approach to evaluate wearable products based on emotions,"The wearable product market is growing rapidly and is full of products with similar functions and features. Engaging users at an emotional level may be the key to differentiating a product and encouraging long-term use. While researchers have proposed various design approaches to realize design qualities for wearable devices, emotional needs are often extracted by analysis-heavy methods and disconnected in the design process. To bridge this gap, we developed a new approach that uses a two-axis interactive collage tool for users to compare and evaluate wearable products with targeted emotion-related descriptive words. This approach enabled designers to explore how users perceive products and identify types of emotions that were associated with users' preferences for and perception of the product's form and visible characteristics. The example study demonstrated this approach by exploring the relationships between product characteristics and design goals, such as user comfort, user delight, and perceived product usefulness. The results showed that products that resemble clothing were perceived as more delightful and comfortable. The approach can be further used to explore other design concepts or goals.",2020,"Liao, T; Tanner, K; MacDonald, EF",DESIGN SCIENCE,wearable design; product evaluation; product perception; design for emotions; CONSUMER-ORIENTED TECHNOLOGY
A Bayesian Sampling Method for Product Feature Extraction From Large-Scale Textual Data,"The authors of this work propose an algorithm that determines optimal search keyword combinations for querying online product data sources in order to minimize identification errors during the product feature extraction process. Data-driven product design methodologies based on acquiring and mining online product-feature-related data are presented with two fundamental challenges: (1) determining optimal search keywords that result in relevant product related data being returned and (2) determining how many search keywords are sufficient to minimize identification errors during the product feature extraction process. These challenges exist because online data, which is primarily textual in nature, may violate several statistical assumptions relating to the independence and identical distribution of samples relating to a query. Existing design methodologies have predetermined search terms that are used to acquire textual data online, which makes the resulting data acquired, a function of the quality of the search term(s) themselves. Furthermore, the lack of independence and identical distribution of text data from online sources impacts the quality of the acquired data. For example, a designer may search for a product feature using the term screen, which may return relevant results such as  the screen size is just perfect, but may also contain irrelevant noise such as  researchers should really screen for this type of error. A text mining algorithm is introduced to determine the optimal terms without labeled training data that would maximize the veracity of the data acquired to make a valid conclusion. A case study involving real-world smartphones is used to validate the proposed methodology.",2016,"Lim, S; Tucker, CS",JOURNAL OF MECHANICAL DESIGN,product design; product feature extraction; information retrieval; online; Bayesian; text mining; training data; non-i.i.d.; keyword; DESIGN; SIZE
A concept-based information retrieval approach for engineering domain-specific technical documents,"Technical documents, which often have complicated structures, are often produced during Architecture/Engineering/Construction (A/E/C) projects and research. Applying information retrieval (IR) techniques directly to long or multi-topic documents often does not lead to satisfactory results. One way to address the problem is to partition each document into several “passages”, and treat each passage as an independent document. In this research, a novel passage partitioning approach is designed. It generates passages according to domain knowledge, which is represented by base domain ontology. Such a passage is herein defined as an OntoPassage. In order to demonstrate the advantage of the OntoPassage partitioning approach, this research implements a concept-based IR system to illustrate the application of such an approach. The research also compares the OntoPassage partitioning approach with several conventional passage partitioning approaches to verify its IR effectiveness. It is shown that, with the proposed OntoPassage approach, IR effectiveness on domain-specific technical reports is as good as conventional passage partitioning approaches. In addition, the OntoPassage approach provides the possibility to display the concepts in each passage, and concept-based IR may thus be implemented. (C) 2011 Elsevier Ltd. All rights reserved.",2012,"Lin, Hsien-Tang; Chi, Nai-Wen; Hsieh, Shang-Hsien",ADVANCED ENGINEERING INFORMATICS,Information retrieval; Knowledge management; Ontology; Passage retrieval; Reference collection
Design by Analogy: A Study of the WordTree Method for Problem Re-Representation,"This paper presents a novel approach, referred to as the WordTree design-by-analogy method, for identifying distant-domain analogies as part of the ideation process. The WordTree method derives its effectiveness through a design team's knowledge and readily available information sources (e. g., patent databases, Google) and does not require specialized computational knowledge bases. A controlled cognitive experiment and an evaluation of the method with redesign projects illustrate the method's influence in assisting engineers in design-by-analogy. Individuals using the WordTree method identified significantly more analogies and searched outside the problem domain as compared to the control group. The team redesign projects demonstrate the WordTree method's effectiveness in longer-term, more realistic, higher validity team projects and with a variety of different design problems. Teams successfully identified effective analogies, analogous domains, and analogous patents. Unexpected and unique solutions are identified using the method. For example, one of the teams identified a dump truck and panning for gold as effective analogies for the design of a self-cleaning cat litter box. In the controlled experiment, a cherry pitter was identified and implemented as a solution for designing a machine to shell peanuts. The experimental results also highlight potential improvements for the method and areas for future research in engineering design theory. [DOI: 10.1115/1.4006145]",2012,"Linsey, JS; Markman, AB; Wood, KL",JOURNAL OF MECHANICAL DESIGN,analogy; conceptual design; innovation; design method; idea generation; ENGINEERING DESIGN; IDEA GENERATION; SIMILARITY; MANIFEST
Data-Driven Concept Network for Inspiring Designers' Idea Generation,"Big-data mining brings new challenges and opportunities for engineering design, such as customer-needs mining, sentiment analysis, knowledge discovery, etc. At the early phase of conceptual design, designers urgently need to synthesize their own internal knowledge and wide external knowledge to solve design problems. However, on the one hand, it is time-consuming and laborious for designers to manually browse massive volumes of web documents and scientific literature to acquire external knowledge. On the other hand, how to extract concepts and discover meaningful concept associations automatically and accurately from these textual data to inspire designers' idea generation? To address the above problems, we propose a novel data-driven concept network based on machine learning to capture design concepts and meaningful concept combinations as useful knowledge by mining the web documents and literature, which is further exploited to inspire designers to generate creative ideas. Moreover, the proposed approach contains three key steps: concept vector representation based on machine learning, semantic distance quantification based on concept clustering, and possible concept combinations based on natural language processing technologies, which is expected to provide designers with inspirational stimuli to solve design problems. A demonstration of conceptual design for detecting the fault location in transmission lines has been taken to validate the practicability and effectiveness of this approach.",2020,"Liu, QY; Wang, K; Li, Y; Liu, Y",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,big data and analytics; data-driven engineering; engineering Informatics; knowledge engineering; machine learning for engineering applications; KNOWLEDGE; REPRESENTATION; SIMULATION; CREATIVITY; DOMAIN; LINK; MAP
A New Design Rationale Representation Model for Rationale Mining,"The management of design rationale (DR) in engineering design is an important task since DR is often regarded as crucial information in design decision support and design analysis. The existing DR systems largely rely on human efforts in capturing DRs along design activities according to some predefined DR models. However these systems require heavy human involvement and they do not have the capacity to extract DRs from design archival documents, which contain rich DR information but are usually unstructured or semistructured texts, e.g., design documents, service reports, and test reports. In view of such challenges, it has motivated us to propose a new DR model to intelligently discover DRs from design archival documents. In this paper, we propose an issue, solution and artifact layer (ISAL) model for DR representation and approaches for rationale information discovery from design archival documents. We also introduce a DR repository construction platform based on the ISAL model by integrating rationale information from both design archival documents and design processes. Using patent documents as our research data, we conduct a conceptual comparison and experimental study of DR discovery especially for artifact information extraction. Results demonstrate the merits of our proposal. Lastly we discuss potential applications by taking advantage of our ISAL model. [DOI: 10.1115/1.3470018]",2010,"Liu, Y; Liang, Y; Kwong, CK; Lee, WB",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,design rationale; representation model; text mining; VARIANT DESIGN; INFORMATION; RETRIEVAL; CAPTURE; SYSTEMS; SUPPORT
A new function-based patent knowledge retrieval tool for conceptual design of innovative products,"The reuse of design knowledge within a specific domain is currently a major research focus in product design. However, the importance of support from cross-domain knowledge is steadily on the increase for product innovative design, which includes multi-domain knowledge recombination, transfer and transformation. As the biggest knowledge provider, patent information plays an irreplaceable role inspiring designers in the conceptual design stage. Nevertheless, it is of a great importance and also an issue to figure out how to efficiently retrieve cross-domain patents. In this paper, we propose a function-based patent knowledge retrieval tool for conceptual design of innovative products. In order to establish the underlying local database, function information, technical terms and International Patent Classification (IPC) information are respectively extracted from patents crawled on Websites to represent function, technology and domain properties, thereby generating a patent knowledge space. Particularly, by using a semi-supervised learning algorithm, function information is automatically classified and labeled by functional basis, into which the design problem is abstracted and interpreted forming a design problem space. By functional basis mapping from the design problem space to the patent knowledge space, we retrieve the required cross-domain patents, which are then clustered and evaluated in accordance with the extracted technology and domain properties. The selected patents are thus purposefully recommended to trigger designers' creativity. Finally, a case study illustrates the conceptual design process based on the proposed retrieval tool. In addition to that, we conducted an experiment to verify our tool. It demonstrates that our proposed tool can assist designers to generate more ideas and the novelty of ideas is higher. (C) 2019 Elsevier B.V. All rights reserved.",2020,"Longfan, Liu; Yana, Li; Yan, Xiong; Cavallucci, Denis",COMPUTERS IN INDUSTRY,Functional basis; Machine learning; Patent evaluation; Product innovative design; TRIZ
Promoting risk communication in early design through linguistic analyses,"The concept of function offers significant potential for transforming thinking and reasoning about engineering design as well as providing a common thread for relating together product risk information. This paper focuses specifically on risk data by examining how this information is addressed for a design team conducting early stage design for space missions. A fundamental set of risk elements is proposed based on a linguistic analysis of the risk information needs of the design team. Sample risk statements are then decomposed into a set of key attributes that are used to scrutinize the risk information using three approaches from the pragmatics sub-field of linguistics: (1) Gricean, (2) Relevance Theory, and (3) Functional Analysis. Based on the deficiencies identified in this analysis, a format for the communication of risk data by explicitly accounting for five risk attributes developed in this work is formulated.",2009,"Lough, KG; Van Wie, M; Stone, R; Tumer, IY",RESEARCH IN ENGINEERING DESIGN,Risk analysis; Linguistics; Product design; 
